SpPair,program,ploidy,category,n
TarAar,ON,diploid,M:1,2705
TarAar,ON,diploid,M:M,1436
AthChi,SPd,diploid,one:one,17688
AthChi,SPd,diploid,1:M,530
AthChi,SPd,diploid,M:1,762
AthChi,SPd,diploid,M:M,919
AthCru,SPd,diploid,one:one,18065
AthCru,SPd,diploid,1:M,658
AthCru,SPd,diploid,M:1,590
AthCru,SPd,diploid,M:M,1131
AthTar,SPd,diploid,one:one,14571
AthTar,SPd,diploid,1:M,478
AthTar,SPd,diploid,M:1,916
AthTar,SPd,diploid,M:M,559
AthAar,SPd,diploid,one:one,14447
AthAar,SPd,diploid,1:M,470
AthAar,SPd,diploid,M:1,883
AthAar,SPd,diploid,M:M,445
ChiCru,SPd,diploid,one:one,17393
ChiCru,SPd,diploid,1:M,807
ChiCru,SPd,diploid,M:1,517
ChiCru,SPd,diploid,M:M,885
ChiTar,SPd,diploid,one:one,14435
ChiTar,SPd,diploid,1:M,519
ChiTar,SPd,diploid,M:1,785
ChiTar,SPd,diploid,M:M,483
ChiAar,SPd,diploid,one:one,14394
ChiAar,SPd,diploid,1:M,510
ChiAar,SPd,diploid,M:1,745
ChiAar,SPd,diploid,M:M,396
CruTar,SPd,diploid,one:one,14413
CruTar,SPd,diploid,1:M,459
CruTar,SPd,diploid,M:1,936
CruTar,SPd,diploid,M:M,568
CruAar,SPd,diploid,one:one,14320
CruAar,SPd,diploid,1:M,455
CruAar,SPd,diploid,M:1,860
CruAar,SPd,diploid,M:M,452
TarAar,SPd,diploid,one:one,12499
TarAar,SPd,diploid,1:M,568
TarAar,SPd,diploid,M:1,552
TarAar,SPd,diploid,M:M,272
AthChi,SPm,diploid,one:one,17817
AthChi,SPm,diploid,1:M,513
AthChi,SPm,diploid,M:1,743
AthChi,SPm,diploid,M:M,889
AthCru,SPm,diploid,one:one,18177
AthCru,SPm,diploid,1:M,647
AthCru,SPm,diploid,M:1,577
AthCru,SPm,diploid,M:M,1091
AthTar,SPm,diploid,one:one,14656
AthTar,SPm,diploid,1:M,477
AthTar,SPm,diploid,M:1,902
AthTar,SPm,diploid,M:M,541
AthAar,SPm,diploid,one:one,14563
AthAar,SPm,diploid,1:M,459
AthAar,SPm,diploid,M:1,856
AthAar,SPm,diploid,M:M,426
ChiCru,SPm,diploid,one:one,17546
ChiCru,SPm,diploid,1:M,779
ChiCru,SPm,diploid,M:1,486
ChiCru,SPm,diploid,M:M,860
ChiTar,SPm,diploid,one:one,14515
ChiTar,SPm,diploid,1:M,506
ChiTar,SPm,diploid,M:1,766
ChiTar,SPm,diploid,M:M,477
ChiAar,SPm,diploid,one:one,14502
ChiAar,SPm,diploid,1:M,491
ChiAar,SPm,diploid,M:1,725
ChiAar,SPm,diploid,M:M,381
CruTar,SPm,diploid,one:one,14512
CruTar,SPm,diploid,1:M,439
CruTar,SPm,diploid,M:1,897
CruTar,SPm,diploid,M:M,563
CruAar,SPm,diploid,one:one,14427
CruAar,SPm,diploid,1:M,457
CruAar,SPm,diploid,M:1,846
CruAar,SPm,diploid,M:M,420
TarAar,SPm,diploid,one:one,12575
TarAar,SPm,diploid,1:M,539
TarAar,SPm,diploid,M:1,532
TarAar,SPm,diploid,M:M,276
AthChi,OFb_base,full,one:one,12389
AthChi,OFb_base,full,1:M,1412
AthChi,OFb_base,full,M:1,1140
AthChi,OFb_base,full,M:M,3013
AthCru,OFb_base,full,one:one,13899
AthCru,OFb_base,full,1:M,1025
AthCru,OFb_base,full,M:1,1084
AthCru,OFb_base,full,M:M,2784
AthTar,OFb_base,full,one:one,8885
AthTar,OFb_base,full,1:M,1712
AthTar,OFb_base,full,M:1,1946
AthTar,OFb_base,full,M:M,2357
AthSal,OFb_base,full,one:one,6828
AthSal,OFb_base,full,1:M,5828
AthSal,OFb_base,full,M:1,1056
AthSal,OFb_base,full,M:M,3077
AthBra,OFb_base,full,one:one,7321
AthBra,OFb_base,full,1:M,6168
AthBra,OFb_base,full,M:1,957
AthBra,OFb_base,full,M:M,3094
AthCsa,OFb_base,full,one:one,3572
AthCsa,OFb_base,full,1:M,12222
AthCsa,OFb_base,full,M:1,409
AthCsa,OFb_base,full,M:M,2793
AthAar,OFb_base,full,one:one,8890
AthAar,OFb_base,full,1:M,1109
AthAar,OFb_base,full,M:1,2120
AthAar,OFb_base,full,M:M,2416
ChiCru,OFb_base,full,one:one,12359
ChiCru,OFb_base,full,1:M,1173
ChiCru,OFb_base,full,M:1,1471
ChiCru,OFb_base,full,M:M,2792
ChiTar,OFb_base,full,one:one,8500
ChiTar,OFb_base,full,1:M,1614
ChiTar,OFb_base,full,M:1,2157
ChiTar,OFb_base,full,M:M,2423
ChiSal,OFb_base,full,one:one,6804
ChiSal,OFb_base,full,1:M,5120
ChiSal,OFb_base,full,M:1,1349
ChiSal,OFb_base,full,M:M,3162
ChiBra,OFb_base,full,one:one,7054
ChiBra,OFb_base,full,1:M,5852
ChiBra,OFb_base,full,M:1,1208
ChiBra,OFb_base,full,M:M,3205
ChiCsa,OFb_base,full,one:one,3554
ChiCsa,OFb_base,full,1:M,11159
ChiCsa,OFb_base,full,M:1,726
ChiCsa,OFb_base,full,M:M,2969
ChiAar,OFb_base,full,one:one,8495
ChiAar,OFb_base,full,1:M,1075
ChiAar,OFb_base,full,M:1,2406
ChiAar,OFb_base,full,M:M,2385
CruTar,OFb_base,full,one:one,8877
CruTar,OFb_base,full,1:M,1701
CruTar,OFb_base,full,M:1,1911
CruTar,OFb_base,full,M:M,2268
CruSal,OFb_base,full,one:one,6892
CruSal,OFb_base,full,1:M,5729
CruSal,OFb_base,full,M:1,1070
CruSal,OFb_base,full,M:M,2998
CruBra,OFb_base,full,one:one,7472
CruBra,OFb_base,full,1:M,6202
CruBra,OFb_base,full,M:1,970
CruBra,OFb_base,full,M:M,3004
CruCsa,OFb_base,full,one:one,4851
CruCsa,OFb_base,full,1:M,11538
CruCsa,OFb_base,full,M:1,431
CruCsa,OFb_base,full,M:M,2756
CruAar,OFb_base,full,one:one,8789
CruAar,OFb_base,full,1:M,1144
CruAar,OFb_base,full,M:1,2121
CruAar,OFb_base,full,M:M,2359
TarSal,OFb_base,full,one:one,7154
TarSal,OFb_base,full,1:M,3254
TarSal,OFb_base,full,M:1,1851
TarSal,OFb_base,full,M:M,2291
TarBra,OFb_base,full,one:one,6634
TarBra,OFb_base,full,1:M,4167
TarBra,OFb_base,full,M:1,1572
TarBra,OFb_base,full,M:M,2513
TarCsa,OFb_base,full,one:one,2424
TarCsa,OFb_base,full,1:M,9033
TarCsa,OFb_base,full,M:1,829
TarCsa,OFb_base,full,M:M,2772
TarAar,OFb_base,full,one:one,6988
TarAar,OFb_base,full,1:M,1515
TarAar,OFb_base,full,M:1,2233
TarAar,OFb_base,full,M:M,2007
SalBra,OFb_base,full,one:one,9238
SalBra,OFb_base,full,1:M,2766
SalBra,OFb_base,full,M:1,1745
SalBra,OFb_base,full,M:M,6594
SalCsa,OFb_base,full,one:one,765
SalCsa,OFb_base,full,1:M,9549
SalCsa,OFb_base,full,M:1,701
SalCsa,OFb_base,full,M:M,6274
SalAar,OFb_base,full,one:one,5807
SalAar,OFb_base,full,1:M,1110
SalAar,OFb_base,full,M:1,4886
SalAar,OFb_base,full,M:M,2387
BraCsa,OFb_base,full,one:one,1026
BraCsa,OFb_base,full,1:M,9446
BraCsa,OFb_base,full,M:1,872
BraCsa,OFb_base,full,M:M,6962
BraAar,OFb_base,full,one:one,5804
BraAar,OFb_base,full,1:M,992
BraAar,OFb_base,full,M:1,5168
BraAar,OFb_base,full,M:M,2437
CsaAar,OFb_base,full,one:one,1834
CsaAar,OFb_base,full,1:M,448
CsaAar,OFb_base,full,M:1,9760
CsaAar,OFb_base,full,M:M,2489
AthChi,BR,full,one:one,16959
AthChi,BR,full,1:M,1252
AthChi,BR,full,M:1,808
AthChi,BR,full,M:M,1191
AthCru,BR,full,one:one,17812
AthCru,BR,full,1:M,779
AthCru,BR,full,M:1,736
AthCru,BR,full,M:M,1305
AthTar,BR,full,one:one,14392
AthTar,BR,full,1:M,1186
AthTar,BR,full,M:1,909
AthTar,BR,full,M:M,866
AthSal,BR,full,one:one,9685
AthSal,BR,full,1:M,7577
AthSal,BR,full,M:1,624
AthSal,BR,full,M:M,1220
AthBra,BR,full,one:one,9862
AthBra,BR,full,1:M,7924
AthBra,BR,full,M:1,567
AthBra,BR,full,M:M,1365
AthCsa,BR,full,one:one,497
AthCsa,BR,full,1:M,18081
AthCsa,BR,full,M:1,77
AthCsa,BR,full,M:M,1987
AthAar,BR,full,one:one,14107
AthAar,BR,full,1:M,885
AthAar,BR,full,M:1,948
AthAar,BR,full,M:M,552
ChiCru,BR,full,one:one,16797
ChiCru,BR,full,1:M,841
ChiCru,BR,full,M:1,1245
ChiCru,BR,full,M:M,1142
ChiTar,BR,full,one:one,13903
ChiTar,BR,full,1:M,1089
ChiTar,BR,full,M:1,1262
ChiTar,BR,full,M:M,914
ChiSal,BR,full,one:one,9323
ChiSal,BR,full,1:M,7389
ChiSal,BR,full,M:1,873
ChiSal,BR,full,M:M,1374
ChiBra,BR,full,one:one,9496
ChiBra,BR,full,1:M,7692
ChiBra,BR,full,M:1,803
ChiBra,BR,full,M:M,1540
ChiCsa,BR,full,one:one,438
ChiCsa,BR,full,1:M,17161
ChiCsa,BR,full,M:1,88
ChiCsa,BR,full,M:M,2353
ChiAar,BR,full,one:one,13647
ChiAar,BR,full,1:M,865
ChiAar,BR,full,M:1,1320
ChiAar,BR,full,M:M,549
CruTar,BR,full,one:one,14307
CruTar,BR,full,1:M,1143
CruTar,BR,full,M:1,915
CruTar,BR,full,M:M,877
CruSal,BR,full,one:one,9638
CruSal,BR,full,1:M,7570
CruSal,BR,full,M:1,641
CruSal,BR,full,M:M,1217
CruBra,BR,full,one:one,9874
CruBra,BR,full,1:M,7912
CruBra,BR,full,M:1,571
CruBra,BR,full,M:M,1397
CruCsa,BR,full,one:one,526
CruCsa,BR,full,1:M,18132
CruCsa,BR,full,M:1,75
CruCsa,BR,full,M:M,2079
CruAar,BR,full,one:one,14038
CruAar,BR,full,1:M,871
CruAar,BR,full,M:1,911
CruAar,BR,full,M:M,548
TarSal,BR,full,one:one,8251
TarSal,BR,full,1:M,6609
TarSal,BR,full,M:1,746
TarSal,BR,full,M:M,1261
TarBra,BR,full,one:one,8343
TarBra,BR,full,1:M,6893
TarBra,BR,full,M:1,684
TarBra,BR,full,M:M,1380
TarCsa,BR,full,one:one,336
TarCsa,BR,full,1:M,14903
TarCsa,BR,full,M:1,64
TarCsa,BR,full,M:M,2002
TarAar,BR,full,one:one,12053
TarAar,BR,full,1:M,824
TarAar,BR,full,M:1,1148
TarAar,BR,full,M:M,492
SalBra,BR,full,one:one,9655
SalBra,BR,full,1:M,1704
SalBra,BR,full,M:1,1382
SalBra,BR,full,M:M,7684
SalCsa,BR,full,one:one,287
SalCsa,BR,full,1:M,10027
SalCsa,BR,full,M:1,151
SalCsa,BR,full,M:M,8627
SalAar,BR,full,one:one,7871
SalAar,BR,full,1:M,516
SalAar,BR,full,M:1,6751
SalAar,BR,full,M:M,878
BraCsa,BR,full,one:one,317
BraCsa,BR,full,1:M,10122
BraCsa,BR,full,M:1,189
BraCsa,BR,full,M:M,9080
BraAar,BR,full,one:one,7984
BraAar,BR,full,1:M,471
