,method,SpeciesPair,numberOfExactOG,totalGenes,proportionOfExactOG,meanJI,sdJI,seJI
8,SPd,CruAar,8637,24669,0.3501155296120637,0.43165755537562,0.44889110938539895,0.0028580197886610326
9,SPd,TarAar,6723,20102,0.3344443338971247,0.42998074727316843,0.4426037802304835,0.003121731053340728
0,SPm,AthChi,12101,24826,0.4874325304116652,0.5703193537237718,0.44817768991756984,0.002844440530125873
1,SPm,AthCru,13495,24874,0.5425343732411353,0.6179946827168014,0.44257154234140456,0.0028061486298998407
2,SPm,AthTar,8694,24721,0.35168480239472516,0.43962853123770773,0.44695803123873895,0.0028427176636831924
3,SPm,AthAar,8747,24664,0.3546464482646773,0.4359200532375023,0.44961602213646373,0.002862925343868192
4,SPm,ChiCru,12054,24022,0.5017900258096745,0.5821448403372017,0.4490825323266252,0.0028974875703504394
5,SPm,ChiTar,8273,23920,0.34586120401337794,0.43272700687553367,0.44739106715553695,0.002892722148519547
6,SPm,ChiAar,8335,23780,0.3505046257359125,0.4331381931957581,0.44934068677956357,0.0029138676345891587
7,SPm,CruTar,8696,24697,0.3521075434263271,0.43857050137925696,0.44792157795817683,0.0028502298467660467
8,SPm,CruAar,8658,24655,0.3511660920705739,0.4324876449796511,0.44918613761496823,0.002860710048991838
9,SPm,TarAar,6723,20106,0.3343777976723366,0.42988536578691594,0.4426105918605579,0.0031214685489488214
