algorithm,SpeciesPair,numberOfExactOG,totalOG,proportionOfExactOG,meanJI,sdJI,seJI
OFd,CsaAar,509,18245,0.027898054261441492,0.25373108538765415,0.2151929069572989,0.0015931476176371878
OFm,AthChi,11881,21174,0.5611126853688486,0.6450690136544843,0.42497212093277925,0.0029205119390800145
OFm,AthCru,13232,21187,0.6245339123047151,0.697214030015686,0.4111271896086629,0.00282449926589817
OFm,AthTar,8531,21166,0.4030520646319569,0.49595585470572645,0.44419197052841997,0.003053172259590275
OFm,AthSal,6397,21190,0.301887682869278,0.46852152935778857,0.39454417940608316,0.0027103798652287907
OFm,AthBra,6662,21188,0.3144232584481782,0.4902557096412505,0.3889605975885875,0.0026721487274865806
OFm,AthCsa,911,21139,0.04309569989119637,0.30685777146992893,0.22841228400733693,0.0015710038059461797
OFm,AthAar,8782,21166,0.41491070584900314,0.49725724987976233,0.4487493472661428,0.0030844975809722988
OFm,ChiCru,11828,21109,0.5603297171822446,0.6387345890062206,0.4301232278731194,0.0029604591059746548
OFm,ChiTar,8093,21094,0.3836636010239879,0.4744042203184903,0.44371639319620604,0.0030551040313567947
OFm,ChiSal,6081,21118,0.28795340467847336,0.4507834708668497,0.39602453367088264,0.002725183171803443
OFm,ChiBra,6290,21117,0.29786427996401005,0.4717345869312251,0.38958090610744184,0.0026809057945617982
OFm,ChiCsa,939,21063,0.0445805440820396,0.2987422514348962,0.23535900861605302,0.0016217007298560235
OFm,ChiAar,8312,21096,0.3940083428138036,0.477045092248963,0.44737150893770283,0.0030801244487358432
OFm,CruTar,8515,21075,0.4040332147093713,0.49558499787428933,0.44497877883765113,0.0030651766477852436
OFm,CruSal,6377,21092,0.30234212023516027,0.4690984831961911,0.3945398986265831,0.002716639726880332
OFm,CruBra,6736,21087,0.3194385166216152,0.4972071793289216,0.38812331551979684,0.0026727745888765076
OFm,CruCsa,1039,21068,0.049316498955762296,0.3296820478533899,0.23531844491298853,0.0016212288179095133
OFm,CruAar,8644,21086,0.40994024471213125,0.49378580920443826,0.4478887706427583,0.003084416892466291
OFm,TarSal,5200,18196,0.2857770938667839,0.46429315799349347,0.3954011943435242,0.002931230782114442
OFm,TarBra,5068,18184,0.2787065552133744,0.4593899126106041,0.3890727020188191,0.002885267273238963
OFm,TarCsa,664,18119,0.0366466140515481,0.2653484388531719,0.22957878440695192,0.0017055507217659809
OFm,TarAar,6703,18168,0.3689453985028622,0.4641962914432091,0.4392269894695031,0.003258633050717337
OFm,SalBra,7060,21023,0.3358226704086001,0.45672875846919714,0.410963069638006,0.0028343628788488713
OFm,SalCsa,403,20919,0.019264783211434582,0.18821977382177474,0.18784551651013753,0.001298764394081625
OFm,SalAar,5154,18228,0.28275181040158,0.4590695534988274,0.3886479731970396,0.002878636960430108
OFm,BraCsa,486,21254,0.022866283993601206,0.19668654098883082,0.19499600494344807,0.001337535678462282
OFm,BraAar,5168,18213,0.28375336298248505,0.46167231004536335,0.3860483467588993,0.002860559286383756
OFm,CsaAar,565,18199,0.031045661849552174,0.2575518514990765,0.21775328345842415,0.001614139070731789
ON,AthChi,10606,19640,0.5400203665987781,0.6400553024423079,0.41607036061000024,0.0029689031982393886
ON,AthCru,11924,19640,0.6071283095723015,0.6923212176034823,0.40390440840107533,0.002882092077231514
ON,AthTar,7751,19640,0.39465376782077394,0.49915612761324507,0.4357980858213449,0.0031096719528031116
