,method,SpeciesPair,numberOfExactOG,totalGenes,proportionOfExactOG,meanJI,sdJI,seJI
18,BR,TarSal,4924,23726,0.20753603641574644,0.36564066704087855,0.3892093830948103,0.002526800991868889
19,BR,TarBra,4977,23709,0.20992028343666963,0.3656767966334688,0.3870947984212234,0.0025139736259877405
20,BR,TarCsa,112,23707,0.004724343021048636,0.19053222167811099,0.18588348050855794,0.0012072646822777805
21,BR,TarAar,6381,23632,0.2700152335815843,0.3649708495710848,0.42508769966580595,0.002765211150185514
22,BR,SalBra,7217,37513,0.19238663929837657,0.3038565403120384,0.3791304511256101,0.0019574819635264124
23,BR,SalCsa,131,37381,0.003504454134453332,0.1233186023760369,0.15747818756614892,0.0008145072421659044
24,BR,SalAar,4902,37382,0.13113263067786635,0.22314640385847373,0.3504486504609285,0.0018125630620580765
25,BR,BraCsa,154,38422,0.004008120347717453,0.12940720443966913,0.162124210979321,0.0008270997539973642
26,BR,BraAar,5042,38397,0.13131234211006068,0.2186002122795145,0.35009396299313916,0.0017866355654857745
27,BR,CsaAar,103,20998,0.004905229069435185,0.20136776971146678,0.18073881289636087,0.0012472756956569612
0,OFb,AthChi,11778,26402,0.4461025679872737,0.5326031868606211,0.44812077749417356,0.002757888268542502
1,OFb,AthCru,13051,26411,0.49415016470410056,0.5751146739153765,0.44636208732136995,0.002746596594220477
2,OFb,AthTar,8472,26392,0.3210063655653228,0.41065696987143835,0.43904866995224495,0.0027025672807626695
3,OFb,AthSal,6372,26418,0.24119918237565297,0.3870530101631935,0.3945842348102548,0.0024276706150269376
4,OFb,AthBra,6634,26407,0.251221267088272,0.40604355534104286,0.3932560684921834,0.0024200029779051094
5,OFb,AthCsa,922,26344,0.03499848162769511,0.25803934012573115,0.23425668660478582,0.0014432818073604051
6,OFb,AthAar,8783,26391,0.33280284945625405,0.41191254402193783,0.4454835793436919,0.0027422293647153292
7,OFb,ChiCru,11725,28460,0.41198172874209416,0.4910428582747716,0.45414778162318536,0.0026920290943597074
8,OFb,ChiTar,8062,28437,0.28350388578260716,0.3671007149639662,0.4314384829968819,0.0025584503375918927
9,OFb,ChiSal,6089,28468,0.21388927919067022,0.3480773213402104,0.39071657569005763,0.0023157056617325966
10,OFb,ChiBra,6288,28460,0.22094167252283908,0.3645565240056713,0.3893516172229275,0.0023079401109346175
11,OFb,ChiCsa,934,28380,0.032910500352360816,0.23451178156719954,0.23788704608119984,0.0014120972199554895
12,OFb,ChiAar,8312,28447,0.29219249833022815,0.36829441662167817,0.4366000789487559,0.0025886037353422056
13,OFb,CruTar,8451,27022,0.3127451706017319,0.3991693241376559,0.4385855628389295,0.002668059969082619
14,OFb,CruSal,6377,27044,0.23580091702410885,0.37799031115997017,0.3947328638839746,0.0024003126940183007
15,OFb,CruBra,6726,27034,0.24879781016497743,0.4011025508287422,0.3939980697249323,0.002396287594368709
16,OFb,CruCsa,1055,27004,0.03906828617982521,0.27094790405460467,0.24359251123032488,0.0014823470143637207
17,OFb,CruAar,8655,27030,0.3201997780244173,0.398420556332956,0.44338050109789623,0.0026968299771731184
18,OFb,TarSal,5231,24906,0.21002971171605236,0.35659032963886617,0.39217073362133614,0.0024849816650705193
19,OFb,TarBra,5101,24883,0.20499939717879676,0.353383750465497,0.3863710043267948,0.0024493630221144925
20,OFb,TarCsa,662,24787,0.02670754831161496,0.2073658386635207,0.22803803199045394,0.001448422627844021
21,OFb,TarAar,6718,24871,0.2701137871416509,0.35586842832136467,0.4269941664676125,0.0027075427220764016
22,OFb,SalBra,7005,38228,0.18324264936695617,0.2948932723097452,0.3739663708949985,0.0019126775533946643
23,OFb,SalCsa,420,38108,0.011021307861866276,0.12796377669224973,0.1778406777698072,0.0009110097532899924
